Model,Location,mAP50,mAP50-95,Precision,Recall,FPS (avg),Latency ms,GPU Util %,CPU Util %,RAM (GB),Power (W),Temp (?C),Params (M),Model Size (MB),GFLOPs,Reduction vs Baseline (%),Validation2 Location,Validation2 mAP50,Validation2 mAP50-95,Validation2 Precision,Validation2 Recall
11s_DS3_from_11l_80p.pt,research/object/11s_DS3/distillation_pruning/80/11s_DS3_from_11l_80p.pt_benchmark.json,0.968037,0.877710,0.993548,0.966248,10.24,97.63,76.90,7.13,3.14,12.98,57.10,,,,,,,,,
11s_DS3_from_11l_80p_fp16.engine,research/object/11s_DS3/distillation_pruning_quantization/80/FP16/11s_DS3_from_11l_80p_fp16.engine_benchmark.json,0.967154,0.876788,0.995865,0.955130,26.61,37.57,60.06,8.11,3.23,11.73,55.26,,,,,,,,,
11s_DS3_from_11l_80p_int8.engine,research/object/11s_DS3/distillation_pruning_quantization/80/INT8/11s_DS3_from_11l_80p_int8.engine_benchmark.json,0.964998,0.807392,0.992556,0.953209,37.93,26.36,43.27,10.04,3.14,10.01,54.24,,,,,,,,,
11s_DS3_from_11m_80p.engine,research/object/11s_DS3/distillation_pruning/80/11s_DS3_from_11m_80p.engine_benchmark.json,0.978623,0.883766,0.993186,0.977118,15.24,65.63,77.19,5.07,2.85,13.08,57.54,,,,,,,,,
11s_DS3_from_11m_80p.pt,research/object/11s_DS3/distillation_pruning/80/11s_DS3_from_11m_80p.pt_benchmark.json,0.978747,0.893060,0.993654,0.976964,10.27,97.34,80.57,7.14,3.13,13.01,57.44,,,,,,,,,
11s_DS3_from_11m_80p_fp16.engine,research/object/11s_DS3/distillation_pruning_quantization/80/FP16/11s_DS3_from_11m_80p_fp16.engine_benchmark.json,0.978396,0.859892,0.993526,0.977118,27.18,36.80,57.16,8.32,3.21,11.62,55.80,,,,,,,,,
11s_DS3_from_11m_80p_int8.engine,research/object/11s_DS3/distillation_pruning_quantization/80/INT8/11s_DS3_from_11m_80p_int8.engine_benchmark.json,0.978619,0.831939,0.993265,0.977118,38.46,26.00,50.56,10.19,3.20,10.07,53.53,,,,,,,,,
11s_DS3_from_11x_80p.engine,research/object/11s_DS3/distillation_pruning/80/11s_DS3_from_11x_80p.engine_benchmark.json,0.978189,0.886431,0.989869,0.977118,15.35,65.15,73.67,5.11,2.86,13.06,57.76,,,,,,,,,
11s_DS3_from_11x_80p.pt,research/object/11s_DS3/distillation_pruning/80/11s_DS3_from_11x_80p.pt_benchmark.json,0.978015,0.883974,0.988664,0.977118,10.29,97.19,71.16,7.06,3.13,12.97,57.38,,,,,,,,,
11s_DS3_from_11x_80p_fp16.engine,research/object/11s_DS3/distillation_pruning_quantization/80/FP16/11s_DS3_from_11x_80p_fp16.engine_benchmark.json,0.978142,0.859798,0.990015,0.977118,27.59,36.24,60.07,8.34,3.20,11.78,56.33,,,,,,,,,
11s_DS3_from_11x_80p_int8.engine,research/object/11s_DS3/distillation_pruning_quantization/80/INT8/11s_DS3_from_11x_80p_int8.engine_benchmark.json,0.978213,0.829081,0.978642,0.973981,37.68,26.54,50.75,9.99,3.14,10.06,53.52,,,,,,,,,
11s_pose_from_11m_80p.engine,research/pose/11s-pose/distillation_pruning/80/11s_pose_from_11m_80p.engine_benchmark.json,0.976468,0.856683,0.901754,0.983706,7.03,142.24,87.92,2.66,2.93,11.07,53.77,,,,,research/pose/11s-pose/distillation_pruning/80/11s_pose_from_11m_80p_engine_validation2.json,0.969912,0.841778,0.917598,0.983871
11s_pose_from_11m_80p.pt,research/pose/11s-pose/distillation_pruning/80/11s_pose_from_11m_80p.pt_benchmark.json,0.976731,0.871770,0.855798,1.000000,9.13,109.52,79.81,6.83,3.17,13.15,55.33,,,,,research/pose/11s-pose/distillation_pruning/80/11s_pose_from_11m_80p_pt_validation2.json,0.981457,0.853577,0.895909,0.971795
11s_pose_from_11m_80p_fp16.engine,research/pose/11s-pose/distillation_pruning_quantization/80/FP16/11s_pose_from_11m_80p_fp16.engine_benchmark.json,0.976468,0.855443,0.901814,0.984371,9.14,109.46,81.53,3.41,3.03,9.92,51.85,,,,,research/pose/11s-pose/distillation_pruning_quantization/80/FP16/11s_pose_from_11m_80p_fp16_engine_validation2.json,0.969518,0.841792,0.913237,0.983871
11s_pose_from_11m_80p_int8.engine,research/pose/11s-pose/distillation_pruning_quantization/80/INT8/11s_pose_from_11m_80p_int8.engine_benchmark.json,0.958827,0.799811,0.899748,0.961675,10.08,99.19,87.33,3.46,3.02,9.10,52.71,,,,,research/pose/11s-pose/distillation_pruning_quantization/80/INT8/11s_pose_from_11m_80p_int8_engine_validation2.json,0.949476,0.783027,0.839357,0.983871
26l_DS3_from_26x.pt,research/object/26l/distillation/26l_DS3_from_26x.pt_benchmark.json,0.988155,0.910163,0.986645,0.985608,3.42,292.38,91.59,3.44,3.62,14.93,60.12,,,,,,,,,
26l_pose_from_26x_70p.engine,research/pose/26l-pose/distillation_pruning/70/26l_pose_from_26x_70p.engine_benchmark.json,0.993000,0.937125,0.993736,0.964286,6.12,163.34,89.55,2.35,3.12,15.45,60.51,,,,,research/pose/26l-pose/distillation_pruning/70/26l_pose_from_26x_70p_engine_validation2.json,0.989165,0.915455,0.948863,0.951613
26l_pose_from_26x_70p.pt,research/pose/26l-pose/distillation_pruning/70/26l_pose_from_26x_70p.pt_benchmark.json,0.983147,0.933758,0.999285,0.892857,3.64,275.03,91.74,4.42,3.61,14.78,59.02,,,,,research/pose/26l-pose/distillation_pruning/70/26l_pose_from_26x_70p_pt_validation2.json,0.986601,0.924032,0.976771,0.919355
26l_pose_from_26x_70p_fp16.engine,research/pose/26l-pose/distillation_pruning_quantization/70/FP16/26l_pose_from_26x_70p_fp16.engine_benchmark.json,0.993000,0.937311,0.993570,0.964286,13.98,71.52,80.97,4.65,3.21,14.85,58.77,,,,,research/pose/26l-pose/distillation_pruning_quantization/70/FP16/26l_pose_from_26x_70p_fp16_engine_validation2.json,0.989999,0.916633,0.974578,0.935484
26l_pose_from_26x_70p_int8.engine,research/pose/26l-pose/distillation_pruning_quantization/70/INT8/26l_pose_from_26x_70p_int8.engine_benchmark.json,0.000000,0.000000,0.000000,0.000000,19.39,51.58,72.53,5.64,3.18,12.85,57.99,,,,,research/pose/26l-pose/distillation_pruning_quantization/70/INT8/26l_pose_from_26x_70p_int8_engine_validation2.json,0.000000,0.000000,0.000000,0.000000
26m_DS3_from_26l.pt,research/object/26m/distillation/26m_DS3_from_26l.pt_benchmark.json,0.979295,0.919755,0.991869,0.971721,4.37,228.73,93.23,3.38,3.34,14.72,59.78,,,,,,,,,
26m_DS3_from_26x.pt,research/object/26m/distillation/26m_DS3_from_26x.pt_benchmark.json,0.988004,0.912565,0.993426,0.985464,4.37,228.64,89.77,3.35,3.43,14.70,59.85,,,,,,,,,
26m_pose_from_26x_70p.engine,research/pose/26m-pose/distillation_pruning/70/26m_pose_from_26x_70p.engine_benchmark.json,0.976968,0.826932,1.000000,0.879223,7.33,136.36,85.94,2.64,3.04,15.98,80.03,,,,,research/pose/26m-pose/distillation_pruning/70/26m_pose_from_26x_70p_engine_validation2.json,0.966395,0.754729,0.971518,0.838710
26m_pose_from_26x_70p.pt,research/pose/26m-pose/distillation_pruning/70/26m_pose_from_26x_70p.pt_benchmark.json,0.945721,0.767778,0.884802,0.821429,4.49,222.60,91.92,3.85,3.51,15.29,78.27,,,,,research/pose/26m-pose/distillation_pruning/70/26m_pose_from_26x_70p_pt_validation2.json,0.953532,0.722999,0.898193,0.853811
26m_pose_from_26x_70p_fp16.engine,research/pose/26m-pose/distillation_pruning_quantization/70/FP16/26m_pose_from_26x_70p_fp16.engine_benchmark.json,0.974543,0.824036,0.991350,0.857143,16.17,61.84,75.18,5.05,3.20,15.20,76.69,,,,,research/pose/26m-pose/distillation_pruning_quantization/70/FP16/26m_pose_from_26x_70p_fp16_engine_validation2.json,0.964607,0.759521,0.977203,0.838710
26m_pose_from_26x_70p_int8.engine,research/pose/26m-pose/distillation_pruning_quantization/70/INT8/26m_pose_from_26x_70p_int8.engine_benchmark.json,0.000000,0.000000,0.000000,0.000000,23.44,42.66,75.97,6.39,3.18,13.07,76.76,,,,,research/pose/26m-pose/distillation_pruning_quantization/70/INT8/26m_pose_from_26x_70p_int8_engine_validation2.json,0.000000,0.000000,0.000000,0.000000
26m_pose_from_26x_80p.engine,research/pose/26m-pose/distillation_pruning/80/26m_pose_from_26x_80p.engine_benchmark.json,0.971524,0.780442,0.861437,0.964286,7.54,132.67,86.50,2.69,3.12,16.10,81.42,,,,,research/pose/26m-pose/distillation_pruning/80/26m_pose_from_26x_80p_engine_validation2.json,0.947504,0.747946,0.849626,0.919355
26m_pose_from_26x_80p.pt,research/pose/26m-pose/distillation_pruning/80/26m_pose_from_26x_80p.pt_benchmark.json,0.938725,0.765083,0.846480,0.892857,4.53,220.70,91.87,3.82,3.49,15.42,80.30,,,,,research/pose/26m-pose/distillation_pruning/80/26m_pose_from_26x_80p_pt_validation2.json,0.930111,0.720531,0.828793,0.887097
26m_pose_from_26x_80p_fp16.engine,research/pose/26m-pose/distillation_pruning_quantization/80/FP16/26m_pose_from_26x_80p_fp16.engine_benchmark.json,0.970372,0.773616,0.865810,0.964286,16.71,59.83,74.25,5.25,3.20,15.31,76.46,,,,,research/pose/26m-pose/distillation_pruning_quantization/80/FP16/26m_pose_from_26x_80p_fp16_engine_validation2.json,0.946128,0.745355,0.843991,0.903226
26m_pose_from_26x_80p_int8.engine,research/pose/26m-pose/distillation_pruning_quantization/80/INT8/26m_pose_from_26x_80p_int8.engine_benchmark.json,0.083956,0.027087,0.125240,0.178571,22.94,43.59,67.25,6.36,3.21,13.02,75.40,,,,,research/pose/26m-pose/distillation_pruning_quantization/80/INT8/26m_pose_from_26x_80p_int8_engine_validation2.json,0.060321,0.017006,0.079054,0.096774
26n_DS3_from_26l.pt,research/object/26n/distillation/26n_DS3_from_26l.pt_benchmark.json,0.946065,0.822917,0.992181,0.915557,17.28,57.86,74.58,11.21,3.31,12.19,56.77,,,,,,,,,
26n_DS3_from_26m.pt,research/object/26n/distillation/26n_DS3_from_26m.pt_benchmark.json,0.955255,0.832868,0.991876,0.936709,17.31,57.76,70.87,11.17,3.00,12.17,56.01,,,,,,,,,
26n_DS3_from_26s.pt,research/object/26n/distillation/26n_DS3_from_26s.pt_benchmark.json,0.956732,0.825646,0.969702,0.934251,16.20,61.74,68.76,11.68,2.94,11.72,55.51,,,,,,,,,
26n_DS3_from_26x.pt,research/object/26n/distillation/26n_DS3_from_26x.pt_benchmark.json,0.952328,0.822549,0.979515,0.926854,17.34,57.65,73.74,11.06,3.15,12.18,56.20,,,,,,,,,
26n_pose_from_26l_70p.engine,research/pose/26n-pose/distillation_pruning/70/26n_pose_from_26l_70p.engine_benchmark.json,0.984071,0.965737,0.933302,0.999507,23.13,43.24,67.97,6.68,2.53,11.68,55.71,,,,,research/pose/26n-pose/distillation_pruning/70/26n_pose_from_26l_70p_engine_validation2.json,0.989968,0.966016,0.967980,0.975244
26n_pose_from_26l_70p.pt,research/pose/26n-pose/distillation_pruning/70/26n_pose_from_26l_70p.pt_benchmark.json,0.993966,0.984468,0.961590,1.000000,15.20,65.81,71.62,11.08,2.93,12.09,55.66,,,,,research/pose/26n-pose/distillation_pruning/70/26n_pose_from_26l_70p_pt_validation2.json,0.991348,0.980397,0.938776,0.989312
26n_pose_from_26l_70p_fp16.engine,research/pose/26n-pose/distillation_pruning_quantization/70/FP16/26n_pose_from_26l_70p_fp16.engine_benchmark.json,0.985143,0.966753,0.953390,0.964286,40.64,24.60,49.78,10.18,2.79,10.33,54.71,,,,,research/pose/26n-pose/distillation_pruning_quantization/70/FP16/26n_pose_from_26l_70p_fp16_engine_validation2.json,0.989660,0.966534,0.953113,0.983609
26n_pose_from_26l_70p_int8.engine,research/pose/26n-pose/distillation_pruning_quantization/70/INT8/26n_pose_from_26l_70p_int8.engine_benchmark.json,0.985899,0.609333,0.930683,0.959189,43.94,22.76,47.19,10.22,2.71,9.43,52.97,,,,,research/pose/26n-pose/distillation_pruning_quantization/70/INT8/26n_pose_from_26l_70p_int8_engine_validation2.json,0.984468,0.624391,0.979696,0.919355
26n_pose_from_26l_80p.engine,research/pose/26n-pose/distillation_pruning/80/26n_pose_from_26l_80p.engine_benchmark.json,0.984071,0.965737,0.925645,1.000000,22.77,43.92,66.93,6.45,2.55,11.73,56.04,,,,,research/pose/26n-pose/distillation_pruning/80/26n_pose_from_26l_80p_engine_validation2.json,0.989968,0.965997,0.963884,0.983871
26n_pose_from_26l_80p.pt,research/pose/26n-pose/distillation_pruning/80/26n_pose_from_26l_80p.pt_benchmark.json,0.993966,0.984468,0.961590,1.000000,15.16,65.96,71.55,11.25,2.97,12.04,55.85,,,,,research/pose/26n-pose/distillation_pruning/80/26n_pose_from_26l_80p_pt_validation2.json,0.991348,0.980397,0.938776,0.989312
26n_pose_from_26l_80p_fp16.engine,research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26l_80p_fp16.engine_benchmark.json,0.983168,0.964291,0.964139,0.960321,39.70,25.19,45.99,10.04,2.73,10.48,53.50,,,,,research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26l_80p_fp16_engine_validation2.json,0.988840,0.965472,0.927506,0.983871
26n_pose_from_26l_80p_int8.engine,research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26l_80p_int8.engine_benchmark.json,0.975527,0.933625,0.928214,0.923745,43.03,23.24,50.87,10.15,2.71,9.51,52.95,,,,,research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26l_80p_int8_engine_validation2.json,0.980747,0.928345,0.969442,0.887097
26n_pose_from_26m_70p.engine,research/pose/26n-pose/distillation_pruning/70/26n_pose_from_26m_70p.engine_benchmark.json,0.993000,0.984179,0.933065,0.995831,22.89,43.69,66.46,6.64,2.55,11.64,55.50,,,,,research/pose/26n-pose/distillation_pruning/70/26n_pose_from_26m_70p_engine_validation2.json,0.989404,0.984366,0.949837,0.951613
26n_pose_from_26m_70p.pt,research/pose/26n-pose/distillation_pruning/70/26n_pose_from_26m_70p.pt_benchmark.json,0.992586,0.992586,0.965275,0.992970,15.14,66.05,71.16,11.12,2.93,12.03,56.03,,,,,research/pose/26n-pose/distillation_pruning/70/26n_pose_from_26m_70p_pt_validation2.json,0.992442,0.990263,0.983609,0.967915
26n_pose_from_26m_70p_fp16.engine,research/pose/26n-pose/distillation_pruning_quantization/70/FP16/26n_pose_from_26m_70p_fp16.engine_benchmark.json,0.993000,0.984179,0.961461,0.964286,39.69,25.20,49.63,10.08,2.80,10.49,54.30,,,,,research/pose/26n-pose/distillation_pruning_quantization/70/FP16/26n_pose_from_26m_70p_fp16_engine_validation2.json,0.990157,0.985100,0.952234,0.964661
26n_pose_from_26m_70p_int8.engine,research/pose/26n-pose/distillation_pruning_quantization/70/INT8/26n_pose_from_26m_70p_int8.engine_benchmark.json,0.991571,0.962446,0.961766,0.964286,44.66,22.39,46.78,10.36,2.77,9.41,52.93,,,,,research/pose/26n-pose/distillation_pruning_quantization/70/INT8/26n_pose_from_26m_70p_int8_engine_validation2.json,0.987978,0.938779,0.957061,0.935484
26n_pose_from_26m_80p.engine,research/pose/26n-pose/distillation_pruning/80/26n_pose_from_26m_80p.engine_benchmark.json,0.991571,0.982721,0.933040,0.995442,22.77,43.92,69.79,6.57,2.54,11.68,55.30,,,,,research/pose/26n-pose/distillation_pruning/80/26n_pose_from_26m_80p_engine_validation2.json,0.989059,0.984029,0.949423,0.951613
26n_pose_from_26m_80p.pt,research/pose/26n-pose/distillation_pruning/80/26n_pose_from_26m_80p.pt_benchmark.json,0.992586,0.992586,0.965275,0.992970,15.24,65.61,73.92,11.10,2.95,12.07,55.68,,,,,research/pose/26n-pose/distillation_pruning/80/26n_pose_from_26m_80p_pt_validation2.json,0.992442,0.990263,0.983609,0.967915
26n_pose_from_26m_80p_fp16.engine,research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26m_80p_fp16.engine_benchmark.json,0.993000,0.984388,0.960928,0.964286,40.22,24.86,51.42,10.16,2.72,10.36,54.10,,,,,research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26m_80p_fp16_engine_validation2.json,0.989993,0.985079,0.910483,0.984307
26n_pose_from_26m_80p_int8.engine,research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine_benchmark.json,0.993966,0.970328,0.964755,0.977907,44.20,22.63,44.13,14.08,2.69,9.66,52.69,,,,,research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8_engine_validation2.json,0.988827,0.951401,0.923672,1.000000
26n_pose_from_26s_70p.engine,research/pose/26n-pose/distillation_pruning/70/26n_pose_from_26s_70p.engine_benchmark.json,0.995000,0.985223,1.000000,0.997170,22.73,43.99,65.56,6.50,2.51,11.70,55.44,,,,,research/pose/26n-pose/distillation_pruning/70/26n_pose_from_26s_70p_engine_validation2.json,0.993795,0.980084,1.000000,0.966930
26n_pose_from_26s_70p.pt,research/pose/26n-pose/distillation_pruning/70/26n_pose_from_26s_70p.pt_benchmark.json,0.995000,0.995000,0.994114,1.000000,15.39,64.97,70.06,11.15,2.94,12.17,55.66,,,,,research/pose/26n-pose/distillation_pruning/70/26n_pose_from_26s_70p_pt_validation2.json,0.995000,0.992439,0.996396,1.000000
26n_pose_from_26s_70p_fp16.engine,research/pose/26n-pose/distillation_pruning_quantization/70/FP16/26n_pose_from_26s_70p_fp16.engine_benchmark.json,0.993966,0.984335,0.961374,1.000000,40.20,24.88,49.68,10.23,2.79,10.32,54.74,,,,,research/pose/26n-pose/distillation_pruning_quantization/70/FP16/26n_pose_from_26s_70p_fp16_engine_validation2.json,0.992755,0.978996,1.000000,0.959389
26n_pose_from_26s_70p_int8.engine,research/pose/26n-pose/distillation_pruning_quantization/70/INT8/26n_pose_from_26s_70p_int8.engine_benchmark.json,0.989338,0.979215,0.996197,0.928571,43.57,22.95,49.60,10.23,2.77,9.46,53.03,,,,,research/pose/26n-pose/distillation_pruning_quantization/70/INT8/26n_pose_from_26s_70p_int8_engine_validation2.json,0.986707,0.966932,0.966473,0.929954
26n_pose_from_26s_80p.engine,research/pose/26n-pose/distillation_pruning/80/26n_pose_from_26s_80p.engine_benchmark.json,0.995000,0.985223,1.000000,0.997596,22.98,43.51,67.94,6.60,2.63,11.79,55.53,,,,,research/pose/26n-pose/distillation_pruning/80/26n_pose_from_26s_80p_engine_validation2.json,0.993795,0.980034,0.999106,0.967742
26n_pose_from_26s_80p.pt,research/pose/26n-pose/distillation_pruning/80/26n_pose_from_26s_80p.pt_benchmark.json,0.995000,0.995000,0.994114,1.000000,15.12,66.12,73.24,11.24,2.97,12.05,55.99,,,,,research/pose/26n-pose/distillation_pruning/80/26n_pose_from_26s_80p_pt_validation2.json,0.995000,0.992439,0.996396,1.000000
26n_pose_from_26s_80p_fp16.engine,research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26s_80p_fp16.engine_benchmark.json,0.995000,0.985223,1.000000,0.996200,40.47,24.71,50.34,10.14,2.72,10.37,53.82,,,,,research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26s_80p_fp16_engine_validation2.json,0.993351,0.979703,1.000000,0.959363
26n_pose_from_26s_80p_int8.engine,research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26s_80p_int8.engine_benchmark.json,0.974667,0.969185,0.926984,0.928571,43.43,23.03,52.62,10.23,2.71,9.50,53.33,,,,,research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26s_80p_int8_engine_validation2.json,0.977929,0.966099,0.908012,0.951613
26n_pose_from_26x_70p.engine,research/pose/26n-pose/distillation_pruning/70/26n_pose_from_26x_70p.engine_benchmark.json,0.990172,0.983265,0.965428,0.997398,22.93,43.62,67.54,6.51,2.60,11.79,55.91,,,,,research/pose/26n-pose/distillation_pruning/70/26n_pose_from_26x_70p_engine_validation2.json,0.990978,0.980285,0.968562,1.000000
26n_pose_from_26x_70p.pt,research/pose/26n-pose/distillation_pruning/70/26n_pose_from_26x_70p.pt_benchmark.json,0.995000,0.992270,1.000000,0.985612,15.22,65.71,71.24,11.23,2.93,12.08,55.50,,,,,research/pose/26n-pose/distillation_pruning/70/26n_pose_from_26x_70p_pt_validation2.json,0.993442,0.990977,0.964227,0.983871
26n_pose_from_26x_70p_fp16.engine,research/pose/26n-pose/distillation_pruning_quantization/70/FP16/26n_pose_from_26x_70p_fp16.engine_benchmark.json,0.990172,0.983059,0.965332,0.994619,39.29,25.45,55.92,9.89,2.80,10.51,53.86,,,,,research/pose/26n-pose/distillation_pruning_quantization/70/FP16/26n_pose_from_26x_70p_fp16_engine_validation2.json,0.990978,0.980210,0.983841,0.982053
26n_pose_from_26x_70p_int8.engine,research/pose/26n-pose/distillation_pruning_quantization/70/INT8/26n_pose_from_26x_70p_int8.engine_benchmark.json,0.973965,0.582986,0.902916,0.996575,44.53,22.46,44.51,10.37,2.77,9.34,53.90,,,,,research/pose/26n-pose/distillation_pruning_quantization/70/INT8/26n_pose_from_26x_70p_int8_engine_validation2.json,0.980995,0.598889,0.939305,0.998453
26n_pose_from_26x_80p.engine,research/pose/26n-pose/distillation_pruning/80/26n_pose_from_26x_80p.engine_benchmark.json,0.995000,0.992126,0.996021,1.000000,22.54,44.37,68.08,6.52,2.62,11.75,55.75,,,,,research/pose/26n-pose/distillation_pruning/80/26n_pose_from_26x_80p_engine_validation2.json,0.989856,0.984888,0.965389,0.951613
26n_pose_from_26x_80p.pt,research/pose/26n-pose/distillation_pruning/80/26n_pose_from_26x_80p.pt_benchmark.json,0.993966,0.991668,0.965398,0.996543,15.10,66.21,70.39,11.22,2.95,12.09,55.32,,,,,research/pose/26n-pose/distillation_pruning/80/26n_pose_from_26x_80p_pt_validation2.json,0.994365,0.990423,0.984095,0.997985
26n_pose_from_26x_80p_fp16.engine,research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine_benchmark.json,0.995000,0.992113,0.997049,1.000000,39.82,25.11,55.21,10.10,2.72,10.45,53.93,,,,,research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16_engine_validation2.json,0.990279,0.985464,0.967560,0.962185
26n_pose_from_26x_80p_int8.engine,research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26x_80p_int8.engine_benchmark.json,0.991552,0.970035,0.965492,0.999274,44.12,22.66,47.66,13.09,2.64,9.54,52.31,,,,,research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26x_80p_int8_engine_validation2.json,0.982845,0.949577,0.925335,1.000000
26s_DS3_from_26l.pt,research/object/26s/distillation/26s_DS3_from_26l.pt_benchmark.json,0.987047,0.902275,0.995693,0.987718,9.00,111.09,84.55,6.39,3.06,13.59,58.19,,,,,,,,,
26s_DS3_from_26m.pt,research/object/26s/distillation/26s_DS3_from_26m.pt_benchmark.json,0.977947,0.908550,0.993679,0.975949,9.01,110.98,84.21,6.33,3.30,13.59,58.42,,,,,,,,,
26s_DS3_from_26x.pt,research/object/26s/distillation/26s_DS3_from_26x.pt_benchmark.json,0.986244,0.894448,0.988475,0.981927,9.00,111.07,82.35,6.39,3.19,13.57,58.11,,,,,,,,,
26s_pose_from_26m_70p.engine,research/pose/26s-pose/distillation_pruning/70/26s_pose_from_26m_70p.engine_benchmark.json,0.985107,0.924779,0.981709,0.892857,13.23,75.56,80.50,4.38,2.76,14.06,76.92,,,,,research/pose/26s-pose/distillation_pruning/70/26s_pose_from_26m_70p_engine_validation2.json,0.990829,0.932123,0.921649,1.000000
26s_pose_from_26m_70p.pt,research/pose/26s-pose/distillation_pruning/70/26s_pose_from_26m_70p.pt_benchmark.json,0.985103,0.933596,0.961483,0.928571,8.80,113.62,84.18,7.04,3.11,14.17,77.47,,,,,research/pose/26s-pose/distillation_pruning/70/26s_pose_from_26m_70p_pt_validation2.json,0.989271,0.927459,0.961643,0.951613
26s_pose_from_26m_70p_fp16.engine,research/pose/26s-pose/distillation_pruning_quantization/70/FP16/26s_pose_from_26m_70p_fp16.engine_benchmark.json,0.984250,0.923879,0.983393,0.892857,25.63,39.02,68.58,7.36,3.10,13.04,73.77,,,,,research/pose/26s-pose/distillation_pruning_quantization/70/FP16/26s_pose_from_26m_70p_fp16_engine_validation2.json,0.990547,0.931545,0.920775,1.000000
26s_pose_from_26m_70p_int8.engine,research/pose/26s-pose/distillation_pruning_quantization/70/INT8/26s_pose_from_26m_70p_int8.engine_benchmark.json,0.981801,0.712607,0.962637,0.920394,34.13,29.30,52.09,8.63,3.00,11.26,73.56,,,,,research/pose/26s-pose/distillation_pruning_quantization/70/INT8/26s_pose_from_26m_70p_int8_engine_validation2.json,0.983576,0.758266,0.883580,0.979354
26s_pose_from_26m_80p.engine,research/pose/26s-pose/distillation_pruning/80/26s_pose_from_26m_80p.engine_benchmark.json,0.985107,0.924779,0.981681,0.892857,13.15,76.02,80.29,4.33,2.76,14.07,77.06,,,,,research/pose/26s-pose/distillation_pruning/80/26s_pose_from_26m_80p_engine_validation2.json,0.990829,0.932119,0.922217,1.000000
26s_pose_from_26m_80p.pt,research/pose/26s-pose/distillation_pruning/80/26s_pose_from_26m_80p.pt_benchmark.json,0.985103,0.933596,0.961483,0.928571,8.71,114.77,82.93,7.19,3.12,13.97,76.65,,,,,research/pose/26s-pose/distillation_pruning/80/26s_pose_from_26m_80p_pt_validation2.json,0.989271,0.927459,0.961643,0.951613
26s_pose_from_26m_80p_fp16.engine,research/pose/26s-pose/distillation_pruning_quantization/80/FP16/26s_pose_from_26m_80p_fp16.engine_benchmark.json,0.985107,0.918617,0.982641,0.892857,25.91,38.59,61.63,7.32,3.09,13.03,72.77,,,,,research/pose/26s-pose/distillation_pruning_quantization/80/FP16/26s_pose_from_26m_80p_fp16_engine_validation2.json,0.990829,0.926319,0.920019,1.000000
26s_pose_from_26m_80p_int8.engine,research/pose/26s-pose/distillation_pruning_quantization/80/INT8/26s_pose_from_26m_80p_int8.engine_benchmark.json,0.976896,0.672706,0.919660,0.928571,35.13,28.47,55.12,8.78,3.08,11.20,72.10,,,,,research/pose/26s-pose/distillation_pruning_quantization/80/INT8/26s_pose_from_26m_80p_int8_engine_validation2.json,0.977202,0.708665,0.924527,0.903226
26s_pose_from_26x_70p.engine,research/pose/26s-pose/distillation_pruning/70/26s_pose_from_26x_70p.engine_benchmark.json,0.985575,0.932329,0.998483,0.928571,13.02,76.78,78.50,4.36,2.76,14.08,77.16,,,,,research/pose/26s-pose/distillation_pruning/70/26s_pose_from_26x_70p_engine_validation2.json,0.991544,0.933885,0.977942,0.967742
26s_pose_from_26x_70p.pt,research/pose/26s-pose/distillation_pruning/70/26s_pose_from_26x_70p.pt_benchmark.json,0.983340,0.935484,0.903120,0.964286,8.90,112.38,83.39,6.81,3.12,14.28,76.68,,,,,research/pose/26s-pose/distillation_pruning/70/26s_pose_from_26x_70p_pt_validation2.json,0.989787,0.930853,0.961427,0.951613
26s_pose_from_26x_70p_fp16.engine,research/pose/26s-pose/distillation_pruning_quantization/70/FP16/26s_pose_from_26x_70p_fp16.engine_benchmark.json,0.985575,0.932866,0.999892,0.928571,25.75,38.83,65.33,7.31,3.08,12.88,72.69,,,,,research/pose/26s-pose/distillation_pruning_quantization/70/FP16/26s_pose_from_26x_70p_fp16_engine_validation2.json,0.991544,0.933295,0.978304,0.967742
