Model,Location,mAP50,mAP50-95,Precision,Recall,FPS (avg),Latency ms,GPU Util %,CPU Util %,RAM (GB),Power (W),Temp (?C),Params (M),Model Size (MB),GFLOPs,Reduction vs Baseline (%),Validation2 Location,Validation2 mAP50,Validation2 mAP50-95,Validation2 Precision,Validation2 Recall
11m_DS3_fp16.engine,research/object/11m_DS3/quantization/FP16/11m_DS3_fp16_engine.json,0.978023,0.881881,0.993147,0.977580,14.34,69.72,58.97,8.01,2.20,12.54,59.04,,,,,,,,,
11m_DS3_int8.engine,research/object/11m_DS3/quantization/INT8/11m_DS3_int8_engine.json,0.976295,0.861512,0.993433,0.977880,18.00,55.57,54.40,8.90,2.10,8.90,54.21,,,,,,,,,
11n_DS3_baseline.engine,research/object/11n_DS3/baseline/11n_DS3_baseline_engine.json,0.976834,0.859418,0.984922,0.977118,21.40,46.74,53.27,9.49,2.10,10.58,56.36,,,,,,,,,
11n_DS3_baseline.pt,research/object/11n_DS3/baseline/11n_DS3_baseline_pt.json,0.976804,0.857173,0.992715,0.976513,18.77,53.27,63.93,12.86,2.24,12.90,58.88,,,,,,,,,
11n_DS3_fp16.engine,research/object/11n_DS3/quantization/FP16/11n_DS3_fp16_engine.json,0.976851,0.859397,0.984910,0.977118,23.65,42.28,50.92,10.17,2.19,6.81,50.69,,,,,,,,,
11n_DS3_int8.engine,research/object/11n_DS3/quantization/INT8/11n_DS3_int8_engine.json,0.974320,0.813820,0.995308,0.952937,22.84,43.78,48.27,9.82,2.10,5.97,48.37,,,,,,,,,
11s_DS3_baseline.engine,research/object/11s_DS3/baseline/11s_DS3_baseline_engine.json,0.978612,0.889944,0.983003,0.977337,14.00,71.40,60.63,7.65,2.11,13.13,59.73,,,,,,,,,
11s_DS3_baseline.pt,research/object/11s_DS3/baseline/11s_DS3_baseline_pt.json,0.978116,0.888388,0.983059,0.977118,10.76,92.96,75.12,8.55,2.22,14.90,60.43,,,,,,,,,
11s_DS3_fp16.engine,research/object/11s_DS3/quantization/FP16/11s_DS3_fp16_engine.json,0.978612,0.889837,0.982977,0.977330,21.34,46.87,52.44,9.63,2.18,10.07,55.52,,,,,,,,,
11s_DS3_int8.engine,research/object/11s_DS3/quantization/INT8/11s_DS3_int8_engine.json,0.976624,0.773518,0.974763,0.965548,21.67,46.14,52.41,9.55,2.09,6.94,50.57,,,,,,,,,
11x_DS3_baseline.engine,research/object/11x_DS3/baseline/11x_DS3_baseline_engine.json,0.978396,0.895393,0.995627,0.975516,3.57,280.21,87.75,2.62,2.00,17.72,65.59,,,,,,,,,
11x_DS3_baseline.pt,research/object/11x_DS3/baseline/11x_DS3_baseline_pt.json,0.978396,0.895655,0.995522,0.976759,2.31,433.75,93.77,5.73,2.63,17.71,64.02,,,,,,,,,
11x_DS3_fp16.engine,research/object/11x_DS3/quantization/FP16/11x_DS3_fp16_engine.json,0.978435,0.867043,0.994910,0.974712,6.97,143.37,77.34,4.71,2.05,16.19,63.91,,,,,,,,,
11x_DS3_int8.engine,research/object/11x_DS3/quantization/INT8/11x_DS3_int8_engine.json,0.819297,0.75,0.684366,0.939086,10.40,96.15,70.19,6.24,1.96,13.34,60.21,,,,,,,,,
26l_DS3_baseline.engine,research/object/26l/baseline/26l_DS3_baseline_engine.json,0.987919,0.927938,0.996983,0.985851,6.12,163.33,80.42,3.94,2.13,16.57,64.00,,,,,,,,,
26l_DS3_baseline.pt,research/object/26l/baseline/26l_DS3_baseline_pt.json,0.987852,0.929190,0.996116,0.986844,4.04,247.66,90.79,5.48,2.31,17.08,64.12,,,,,,,,,
26l_DS3_fp16.engine,research/object/26l/quantization/FP16/26l_DS3_fp16_engine.json,0.987989,0.920855,0.995760,0.986251,12.40,80.63,66.47,6.79,2.15,14.37,61.71,,,,,,,,,
26l_DS3_int8.engine,research/object/26l/quantization/INT8/26l_DS3_int8_engine.json,0.985869,0.831832,0.975163,0.972550,16.25,61.53,50.22,7.99,2.14,11.38,57.79,,,,,,,,,
26m_DS3_baseline.engine,research/object/26m/baseline/26m_DS3_baseline_engine.json,0.987657,0.916846,0.991136,0.984369,8.13,123.03,75.27,4.62,2.06,16.10,63.75,,,,,,,,,
26m_DS3_baseline.pt,research/object/26m/baseline/26m_DS3_baseline_pt.json,0.987782,0.920795,0.990990,0.983419,5.12,195.23,86.74,6.07,2.24,16.57,63.52,,,,,,,,,
26m_DS3_fp16.engine,research/object/26m/quantization/FP16/26m_DS3_fp16_engine.json,0.987661,0.902416,0.990846,0.984428,15.18,65.89,62.00,7.57,2.11,13.92,61.21,,,,,,,,,
26m_DS3_int8.engine,research/object/26m/quantization/INT8/26m_DS3_int8_engine.json,0.961295,0.844475,0.973021,0.912023,18.56,53.88,55.62,8.62,2.10,9.17,54.83,,,,,,,,,
26n_DS3_baseline.engine,research/object/26n/baseline/26n_DS3_baseline.engine_benchmark.json,0.957884,0.830983,0.984992,0.937667,24.14,41.42,62.94,6.87,3.18,11.50,55.59,,,,,,,,,
26n_DS3_baseline.pt,research/object/26n/baseline/26n_DS3_baseline_pt.json,0.954328,0.841954,0.979427,0.936408,18.03,55.47,62.53,13.81,2.11,12.64,58.70,,,,,,,,,
26n_DS3_fp16.engine,research/object/26n/quantization/FP16/26n_DS3_fp16.engine_benchmark.json,0.957861,0.819118,0.980581,0.937504,40.85,24.48,54.18,10.15,3.25,10.39,53.92,,,,,,,,,
26n_DS3_int8.engine,research/object/26n/quantization/INT8/26n_DS3_int8.engine_benchmark.json,0.950516,0.771387,0.949491,0.929391,47.46,21.07,47.62,10.74,3.16,9.24,53.23,,,,,,,,,
26s_DS3_baseline.engine,research/object/26s/baseline/26s_DS3_baseline.engine_benchmark.json,0.985692,0.907910,0.982559,0.972675,13.24,75.54,81.23,4.17,3.26,13.53,58.12,,,,,,,,,
26s_DS3_baseline.pt,research/object/26s/baseline/26s_DS3_baseline.pt_benchmark.json,0.987884,0.915298,0.984048,0.984825,8.85,112.96,84.43,6.72,3.36,13.33,57.28,,,,,,,,,
26s_DS3_fp16.engine,research/object/26s/quantization/FP16/26s_DS3_fp16.engine_benchmark.json,0.985680,0.902628,0.987180,0.972597,25.68,38.94,63.29,7.15,3.28,12.58,56.19,,,,,,,,,
26s_DS3_int8.engine,research/object/26s/quantization/INT8/26s_DS3_int8.engine_benchmark.json,0.978812,0.854109,0.942150,0.965786,36.85,27.14,49.07,8.96,3.26,10.65,54.85,,,,,,,,,
11l_DS3_p80.engine,research/object/11l_DS3/pruning/80/11l_DS3_p80.engine_benchmark.json,0.978245,0.895131,0.996086,0.966589,6.79,147.24,85.59,2.78,3.25,15.04,60.21,,,,,,,,,
11l_DS3_p80.pt,research/object/11l_DS3/pruning/80/11l_DS3_p80.pt_benchmark.json,0.978245,0.897787,0.994973,0.966504,4.26,234.82,89.55,4.19,3.53,14.58,59.38,,,,,,,,,
11l_DS3_p80_fp16.engine,research/object/11l_DS3/pruning_quantization/80/FP16/11l_DS3_p80_fp16.engine_benchmark.json,0.977726,0.867518,0.996039,0.966593,15.17,65.93,78.08,5.59,2.80,14.52,59.28,,,,,,,,,
11l_DS3_p80_int8.engine,research/object/11l_DS3/pruning_quantization/80/INT8/11l_DS3_p80_int8.engine_benchmark.json,0.976779,0.840001,0.993665,0.963130,20.36,49.12,66.66,6.65,2.78,12.43,57.91,,,,,,,,,
11l_DS3_p90.engine,research/object/11l_DS3/pruning/90/11l_DS3_p90.engine_benchmark.json,0.977157,0.899423,0.989284,0.966629,6.81,146.75,87.73,2.75,3.25,15.04,60.46,,,,,,,,,
11l_DS3_p90.pt,research/object/11l_DS3/pruning/90/11l_DS3_p90.pt_benchmark.json,0.976943,0.898884,0.983918,0.966629,4.22,236.72,89.53,4.24,3.54,14.64,59.69,,,,,,,,,
11l_DS3_p90_fp16.engine,research/object/11l_DS3/pruning_quantization/90/FP16/11l_DS3_p90_fp16.engine_benchmark.json,0.977157,0.867818,0.989478,0.966629,15.08,66.32,75.40,5.53,2.81,14.41,59.16,,,,,,,,,
11l_DS3_p90_int8.engine,research/object/11l_DS3/pruning_quantization/90/INT8/11l_DS3_p90_int8.engine_benchmark.json,0.975979,0.818157,0.979849,0.965556,19.82,50.46,67.82,6.53,2.71,12.40,58.05,,,,,,,,,
11m_DS3_p80.engine,research/object/11m_DS3/pruning/80/11m_DS3_p80.engine_benchmark.json,0.977664,0.902480,0.989680,0.954029,8.44,118.45,83.85,3.22,2.89,14.97,59.94,,,,,,,,,
11m_DS3_p80.pt,research/object/11m_DS3/pruning/80/11m_DS3_p80.pt_benchmark.json,0.976626,0.902469,0.986121,0.953821,5.18,193.11,89.87,3.97,3.39,14.42,58.96,,,,,,,,,
11m_DS3_p80_fp16.engine,research/object/11m_DS3/pruning_quantization/80/FP16/11m_DS3_p80_fp16.engine_benchmark.json,0.977664,0.885776,0.989942,0.954073,17.68,56.55,68.32,5.87,2.85,13.86,58.45,,,,,,,,,
11m_DS3_p80_int8.engine,research/object/11m_DS3/pruning_quantization/80/INT8/11m_DS3_p80_int8.engine_benchmark.json,0.972611,0.801450,0.974040,0.954173,24.35,41.07,62.21,7.35,2.76,11.99,57.13,,,,,,,,,
11m_DS3_p90.engine,research/object/11m_DS3/pruning/90/11m_DS3_p90.engine_benchmark.json,0.977468,0.894209,0.984367,0.955760,8.47,118.07,84.46,3.16,3.10,15.01,59.90,,,,,,,,,
11m_DS3_p90.pt,research/object/11m_DS3/pruning/90/11m_DS3_p90.pt_benchmark.json,0.977446,0.901335,0.991151,0.956141,5.13,194.88,90.73,3.88,3.42,14.46,59.13,,,,,,,,,
11m_DS3_p90_fp16.engine,research/object/11m_DS3/pruning_quantization/90/FP16/11m_DS3_p90_fp16.engine_benchmark.json,0.977121,0.865517,0.984998,0.955760,17.50,57.15,76.31,5.83,2.86,13.97,58.45,,,,,,,,,
11m_DS3_p90_int8.engine,research/object/11m_DS3/pruning_quantization/90/INT8/11m_DS3_p90_int8.engine_benchmark.json,0.979985,0.844286,0.990206,0.955760,25.06,39.91,63.32,7.42,2.76,12.05,57.30,,,,,,,,,
11n_DS3_p80.engine,research/object/11n_DS3/pruning/80/11n_DS3_p80.engine_benchmark.json,0.947990,0.825635,0.992766,0.940775,24.62,40.61,58.88,7.64,3.15,11.20,55.12,,,,,,,,,
11n_DS3_p80.pt,research/object/11n_DS3/pruning/80/11n_DS3_p80.pt_benchmark.json,0.961191,0.837304,0.981649,0.942664,17.91,55.83,62.97,11.46,3.41,11.53,55.40,,,,,,,,,
11n_DS3_p80_fp16.engine,research/object/11n_DS3/pruning_quantization/80/FP16/11n_DS3_p80_fp16.engine_benchmark.json,0.947743,0.801395,0.991307,0.940757,40.01,24.99,47.46,10.98,3.27,9.82,52.75,,,,,,,,,
11n_DS3_p80_int8.engine,research/object/11n_DS3/pruning_quantization/80/INT8/11n_DS3_p80_int8.engine_benchmark.json,0.940157,0.753708,0.977150,0.927698,46.34,21.58,40.88,11.60,3.19,8.97,52.05,,,,,,,,,
11n_DS3_p90.engine,research/object/11n_DS3/pruning/90/11n_DS3_p90.engine_benchmark.json,0.964586,0.841197,0.992939,0.943278,22.96,43.55,64.89,7.16,3.17,11.32,55.37,,,,,,,,,
11n_DS3_p90.pt,research/object/11n_DS3/pruning/90/11n_DS3_p90.pt_benchmark.json,0.966327,0.850030,0.965935,0.957646,17.62,56.75,65.21,11.49,3.40,11.61,55.07,,,,,,,,,
11n_DS3_p90_fp16.engine,research/object/11n_DS3/pruning_quantization/90/FP16/11n_DS3_p90_fp16.engine_benchmark.json,0.964502,0.840965,0.992964,0.943240,40.28,24.83,50.40,11.03,3.27,9.99,52.71,,,,,,,,,
11n_DS3_p90_int8.engine,research/object/11n_DS3/pruning_quantization/90/INT8/11n_DS3_p90_int8.engine_benchmark.json,0.952139,0.750160,0.941907,0.933338,45.05,22.20,41.19,11.44,3.18,8.97,52.13,,,,,,,,,
11s_DS3_p80.engine,research/object/11s_DS3/pruning/80/11s_DS3_p80.engine_benchmark.json,0.974056,0.859468,0.990760,0.955583,15.54,64.37,76.44,5.14,2.86,13.04,57.89,,,,,,,,,
11s_DS3_p80.pt,research/object/11s_DS3/pruning/80/11s_DS3_p80.pt_benchmark.json,0.974030,0.864331,0.987175,0.966457,10.32,96.88,80.01,7.18,3.13,12.97,57.56,,,,,,,,,
11s_DS3_p80_fp16.engine,research/object/11s_DS3/pruning_quantization/80/FP16/11s_DS3_p80_fp16.engine_benchmark.json,0.974056,0.859522,0.990697,0.955602,29.40,34.01,61.81,8.75,3.22,11.67,55.45,,,,,,,,,
11s_DS3_p80_int8.engine,research/object/11s_DS3/pruning_quantization/80/INT8/11s_DS3_p80_int8.engine_benchmark.json,0.969776,0.813279,0.988558,0.955760,38.42,26.03,45.77,10.00,3.21,10.06,54.78,,,,,,,,,
11s_DS3_p90.engine,research/object/11s_DS3/pruning/90/11s_DS3_p90.engine_benchmark.json,0.978324,0.881431,0.976563,0.975283,15.20,65.78,76.92,5.09,2.85,13.05,57.73,,,,,,,,,
