replay_dir,rank_group,rank_number,batch_dir,within_rank_position,combo_name,mAP1-5,mAP1,mAP2,mAP3,mAP4,mAP5,runtime_fps,average_latency_ms
replay_20260319_204802,rank_05,5,batch_20260320_010259,8,obj26s_fp16_pose26n_kd26x_p80_fp16,0.540256,0.438889,0.462393,0.6,0.6,0.6,7.2368,135.7026
replay_20260319_204802,rank_05,5,batch_20260320_010259,9,obj26m_p80_fp16_pose26n_fp16,0.534872,0.358381,0.531339,0.531339,0.62665,0.62665,6.1876,159.0384
replay_20260319_204802,rank_05,5,batch_20260320_010259,10,obj26s_baseline_pose26n_kd26x_p80_fp16,0.528901,0.471301,0.473203,0.566667,0.566667,0.566667,6.1269,160.6297
replay_20260319_204802,rank_06,6,batch_20260320_020642,1,obj26m_p80_fp16_pose26n_p80_fp16,0.675574,0.415425,0.708746,0.747697,0.747697,0.758303,6.5325,150.4709
replay_20260319_204802,rank_06,6,batch_20260320_020642,2,obj26l_fp16_pose26n_fp16,0.664879,0.546846,0.667111,0.672468,0.718984,0.718984,5.5552,176.7622
replay_20260319_204802,rank_06,6,batch_20260320_020642,3,obj26l_fp16_pose26n_kd_p80_int8,0.619215,0.351407,0.558638,0.705239,0.740396,0.740396,5.7682,170.636
replay_20260319_204802,rank_06,6,batch_20260320_020642,4,obj26s_baseline_pose26n_kd_p80_int8,0.574060,0.427193,0.543108,0.633333,0.633333,0.633333,6.2,158.6713
replay_20260319_204802,rank_06,6,batch_20260320_020642,5,obj26m_p80_fp16_pose26n_fp16,0.566404,0.416512,0.571598,0.571598,0.609992,0.662319,6.2365,157.7588
replay_20260319_204802,rank_06,6,batch_20260320_020642,6,obj26m_p80_fp16_pose26n_kd26x_p80_fp16,0.552963,0.347607,0.507723,0.594704,0.65739,0.65739,6.4051,153.5148
replay_20260319_204802,rank_06,6,batch_20260320_020642,7,obj26l_fp16_pose26n_kd26x_p80_fp16,0.544761,0.433519,0.522656,0.53576,0.615936,0.615936,5.773,170.6003
replay_20260319_204802,rank_06,6,batch_20260320_020642,8,obj26s_baseline_pose26n_kd26x_p80_fp16,0.528901,0.471301,0.473203,0.566667,0.566667,0.566667,6.105,161.2016
replay_20260319_204802,rank_06,6,batch_20260320_020642,9,obj26l_fp16_pose26n_p80_fp16,0.525095,0.433511,0.494593,0.546068,0.575651,0.575651,5.7274,171.9811
replay_20260319_204802,rank_06,6,batch_20260320_020642,10,obj26m_p80_fp16_pose26n_kd_p80_int8,0.514986,0.354949,0.495822,0.524393,0.58549,0.614278,6.5934,149.0714
replay_20260319_204802,rank_07,7,batch_20260320_031014,1,obj26m_p80_fp16_pose26n_p80_fp16,0.689261,0.506228,0.667857,0.754167,0.754167,0.763889,6.4352,152.7948
replay_20260319_204802,rank_07,7,batch_20260320_031014,2,obj26l_fp16_pose26n_kd_p80_int8,0.611395,0.335635,0.554151,0.697298,0.734947,0.734947,5.746,171.2804
replay_20260319_204802,rank_07,7,batch_20260320_031014,3,obj26l_fp16_pose26n_fp16,0.596329,0.455269,0.61087,0.61087,0.652319,0.652319,5.549,176.9481
replay_20260319_204802,rank_07,7,batch_20260320_031014,4,obj26m_p80_fp16_pose26n_kd26x_p80_fp16,0.567194,0.408598,0.50798,0.595455,0.66197,0.66197,6.4064,153.5278
